#   line (B)  time (µs)
        1024       314.3
        2048       335.1
        4096       347.2
        8192       340.4
       16384       338.8
       32768       330.7
       65536       485.5
      131072       482.4
      262144       475.2
      524288       561.4
     1048576       720.9
     2097152       683.9
     4194304      3375.8
     8388608     10535.9
    16777216      6537.9
    33554432      6391.3
    67108864      6335.4
